baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
FBgn0000003	0.442305244148621	0.81762813347626	1.004527779044	0.813942780412095	0.415677731346622	NA
FBgn0000008	765.599725512337	0.0236141343830851	0.0629132981245134	0.37534408602057	0.70740458288963	0.829714094519669
FBgn0000014	183.10544263328	-0.0149109208339644	0.100331804289666	-0.148616093765397	0.881856573055531	0.938566562220867
FBgn0000015	63.4581115793951	0.0258066497282507	0.0864017248247242	0.298682112893029	0.765182606248042	0.867793089914608
FBgn0000017	3312.09216824347	-0.0225998131326353	0.0384889126218832	-0.587177230873131	0.557084682689196	0.722770864308163
FBgn0000018	343.743101976295	0.214330691688936	0.0719169096717756	2.9802544723783	0.00288009017894489	0.0161656569942271
FBgn0000022	0.023312988525291	-0.181808444714368	2.9741591338528	-0.0611293601088683	0.951256186882181	NA
FBgn0000024	440.810873852314	0.0330155962806526	0.0946777333030801	0.348715533513713	0.72730288139806	0.842879905890397
FBgn0000028	12.2174036871532	-0.0886723439143168	0.187690645021606	-0.472438804310728	0.636613612188922	0.779380097609944
FBgn0000032	2165.74871395805	-0.082967144140425	0.040468426116734	-2.05016977683047	0.0403478661857192	0.123045553902339
FBgn0000036	48.0813764284961	0.310748200962451	0.161363247201698	1.92576814331226	0.0541333308860268	0.15233785188291
FBgn0000037	94.6885153255473	0.358860024395912	0.128218725753155	2.7988113459089	0.00512910947344119	0.0256711336226773
FBgn0000038	255.300372043969	0.175905761273778	0.0880562523255605	1.99765214426139	0.0457543858390019	0.13533999840628
FBgn0000039	28.8674069839111	0.348291728459375	0.129219912460152	2.69534100301127	0.00703166276677104	0.0325109138550484
FBgn0000042	53317.016776371	0.112661362871106	0.0404669390537728	2.7840347084666	0.00536872887601853	0.026540726904495
FBgn0000043	8283.8079553094	0.135316876331348	0.0495639711211143	2.73014597641275	0.00633062867395143	0.0301498020963747
FBgn0000044	8755.62377550766	0.191676119660935	0.0769322040596277	2.49149393292271	0.0127207139621748	0.0517379437065542
FBgn0000045	777.922856221863	-0.0328481779204486	0.0978415509688034	-0.33572830351925	0.737075760282526	0.849028805830333
FBgn0000046	988.266478104059	0.329586282534997	0.0750760034636367	4.39003499559794	1.13332420334917e-05	0.000183260303771932
FBgn0000047	792.984488212363	0.78663037468647	0.179482517223523	4.38276878915632	1.17180455652845e-05	0.000187034541231943
FBgn0000052	3266.68382876344	0.00771396075437471	0.0593415616415485	0.129992547229726	0.896572323108264	0.945880061340796
FBgn0000053	2638.9788622494	-0.0600735935632686	0.118719177260754	-0.506014234173163	0.612846657187156	0.762601491024388
FBgn0000055	116.791144022114	-0.644834345469766	0.157377210499871	-4.09738070348054	4.1785138629015e-05	0.000523543207528247
FBgn0000057	947.917251138924	-0.0714836780818773	0.0276001033064647	-2.58997864204131	0.009598188673195	0.0417510510628507
FBgn0000061	3.55812005675175	0.121361756476233	0.353557324558694	0.343259064503092	0.73140357376312	0.845928856256841
FBgn0000063	928.159144175573	0.0280101774676701	0.0603267621709385	0.464307654839855	0.642427340411374	0.783062807849161
FBgn0000064	13173.2285415209	-0.107144741700445	0.0751655376928099	-1.42545034585303	0.154027063665913	0.319335801000918
FBgn0000071	6.97259022598347	1.13829694565602	0.31065449323039	3.66418954324225	0.000248122995329024	0.00227228427301317
FBgn0000075	40.8561822398902	-0.330314973772259	0.453506589748554	-0.72835760546589	0.466394707790943	0.651346630749303
FBgn0000077	413.481041104161	0.0733603367442943	0.0469499340686017	1.56252267867091	0.118164907536349	0.266455069030681
FBgn0000078	5812.32721426384	-0.52817929601809	0.151282467447904	-3.49134506415937	0.00048059511642704	0.00389584781387116
FBgn0000079	6865.26062905661	-0.513609008145147	0.168011879775967	-3.05698030895202	0.00223578962772066	0.013201485698983
FBgn0000083	4655.92992822648	0.387306850519612	0.10537833533988	3.6753935168023	0.000237483078205834	0.00218456139103117
FBgn0000084	908.784661570492	-0.147755716892927	0.141057369804285	-1.04748668643074	0.294875169394215	0.491551456307668
FBgn0000092	8.23247837165861	0.560463807399175	0.269761483160792	2.07762724623333	0.0377437046802048	0.116571431904812
FBgn0000094	0.0406730112080943	-0.181810489777822	2.9741591338528	-0.0611300477195047	0.951255639272392	NA
FBgn0000097	2273.00590948979	0.116343041486362	0.0454861525650371	2.55776835202784	0.0105346241634944	0.0447694347835604
FBgn0000100	16928.08626471	-0.227851209424661	0.0942161956026474	-2.41838685978802	0.0155894927674205	0.0602416620734168
FBgn0000108	718.606012004984	0.269081059461568	0.102369024387775	2.62853984465346	0.00857523089806681	0.0381210516425755
FBgn0000109	364.008485022428	-0.0435488194031833	0.0497886085982727	-0.874674360847556	0.381751114465294	0.578243411979432
FBgn0000114	13949.2378697443	-0.044153927502248	0.0425583163452503	-1.0374923468319	0.299506460589124	0.496391576887315
FBgn0000115	770.188167971222	0.0146154985414661	0.0271091208527098	0.539135836269849	0.589793129851047	0.7471600006337
FBgn0000116	11166.5385355219	-0.118401687629942	0.038677178569045	-3.06128037283214	0.00220392613189628	0.0130837594586481
FBgn0000117	9054.82351855812	-0.0822028630000732	0.0272770178881058	-3.01363086453516	0.00258141682837216	0.0147779534280397
FBgn0000119	805.181405537659	0.263279406155518	0.0824336460458966	3.19383429927304	0.0014039667785347	0.00917703999048556
FBgn0000120	4258.11845209398	0.158861223779597	0.140667294256674	1.1293401541493	0.258754368116736	0.450676929890619
FBgn0000121	9602.54070975973	0.17514880321672	0.144679674931971	1.21059715747271	0.22604983421571	0.412580658519862
FBgn0000137	2.01686055799374	0.113725199142517	0.487481247854502	0.233291433553688	0.815535110144326	0.898681718912051
FBgn0000139	941.507253218956	-0.0434312596635852	0.0308864451732357	-1.40615922033074	0.159676850430122	0.327736801829827
FBgn0000140	5858.42817570675	-0.00420605400949736	0.0638627083715702	-0.0658608774470606	0.947488588198316	0.971956656863073
FBgn0000146	1898.51523128114	-0.0992205901172647	0.0406597838773801	-2.44026358862333	0.0146765487097137	0.057761733915197
FBgn0000147	1223.92955666283	0.0117406074513527	0.062377892654813	0.188217442938043	0.850706199362662	0.92004065367472
FBgn0000150	7424.55215645399	-0.240431523289472	0.109084761742676	-2.20407983157753	0.0275187302646757	0.0925582340565761
FBgn0000152	628.723804315772	0.0289150267984729	0.03655346614874	0.791033788172496	0.428924274795499	0.61975795214311
FBgn0000153	318.019663722339	-0.116300139901513	0.098759489715473	-1.17760976931507	0.238952213376173	0.427561624140424
FBgn0000157	57.0547510303074	0.123792199087704	0.0936423874802338	1.32196756638477	0.186178951320018	0.364625041947924
FBgn0000158	1285.1815584544	-0.0210738304735649	0.0794372157148524	-0.265289137892389	0.79078673153471	0.885067948805103
FBgn0000163	2119.33004016113	0.184550130125214	0.0536224078185146	3.44166063467021	0.000578155084117467	0.00451626571855147
FBgn0000166	1895.33138138744	0.0212224777070069	0.05283556168878	0.401670333931808	0.687926660028536	0.816485286223214
FBgn0000173	3266.35240697656	-0.0552041822405547	0.0272685642894551	-2.02446236826272	0.0429226001956417	0.129142702403284
FBgn0000179	27.6638926649827	0.183396999227267	0.16210249904831	1.13136441636604	0.257901742008205	0.449508764216897
FBgn0000180	36.7415914395261	-0.224538691041479	0.129263122024205	-1.73706690295963	0.0823753624922857	0.206716479429148
FBgn0000181	11142.6116727145	-0.1254743670618	0.0630458670236551	-1.99020765333786	0.0465680655903346	0.137107216945423
FBgn0000182	1.3289193245327	-0.466181098678183	0.535545946962451	-0.870478249947188	0.384039100313186	0.580157431041355
FBgn0000183	4750.23645988328	-0.0361278820312102	0.0322489288994408	-1.12028161133242	0.262593775637543	0.455012149321001
FBgn0000206	126.846567264946	0.143295118087903	0.147870123168939	0.969060652801314	0.332514928031785	0.531284198254613
FBgn0000212	4273.1832065733	0.028168271009653	0.045308218162491	0.621703349900714	0.534136948496306	0.706275057446577
FBgn0000221	190.627452132691	-0.111209949977338	0.0771696403407002	-1.44111012421921	0.149553573770326	0.313788187900578
FBgn0000228	2630.94800080623	0.11137941481923	0.0470528645131992	2.36711231019711	0.0179274916322535	0.0665493484449699
FBgn0000229	694.164293702152	0.0652105260372151	0.045949714109529	1.41917152915848	0.155849014227899	0.321960632085796
